RowName,PalleteQty,InboundLine,Supplier,ProductCode,ProductName,InboundPosition,Date
88,3,F,엠제이(M.J)푸드 시스템,1000739925,"(HK)양념먹태채/버터맛,DC,명태:러시아산,정필,80G/PAC",J,2025.01.02
89,2,F,풍국면,1000711196,"쫄깃한메밀국수,DC,밀:호주산,미국산,풍국면,1KG/PAC",D,2025.01.02
90,2,G,풍국면,1000711201,"맛국수,소면,DC,밀:호주산,미국산,풍국면,1KG/PAC",E,2025.01.02
91,1,H,풍국면,1000711202,"풍국국수,소면,DC,밀:호주산,미국산,풍국면,3KG/PAC",F,2025.01.02
92,1,C,풍국면,1000754333,"맛칼국수(건칼국수),DC,풍국면,1KG/PAC",G,2025.01.02
93,3,C,사조동아원(주),1000709016,"사조튀김가루,DC,사조동아원,1KG/PAC",A,2025.01.02
94,3,D,사조동아원(주),1000755374,"맥선감자전분,DC,전분:폴란드산,사조동아원,20KG/PAC",B,2025.01.02
95,2,E,사조동아원(주),1000661673,"맥선밀가루,강력1등,DC,밀:미국,캐나다산,사조동아원,20KG/PAC",C,2025.01.02
96,2,A,엠제이(M.J)푸드 시스템,1000000001,"DX아몬드브리즈오리지널45,DC,매일,190G/EA",U,2025.01.02
97,2,A,농업회사법인(주)미아토,1000000002,"[G]고구마말랭이,DC,중국산,60G/PAC",V,2025.01.02
98,2,A,엠제이(M.J)푸드 시스템,1000000003,"(위키스마일)NEW양념소대창,DC,우육(소대창):국산한우,2KG/PACK",W,2025.01.02
99,2,A,(주)엠비에프,1000000004,"(RD)가쓰오쯔유소스(우동용/소바용),DC,혼합간장:국산,매일식품,2KG/EA",X,2025.01.02
100,2,A,엠제이(M.J)푸드 시스템,1000000005,"(파더스베이글)딥블루에스프레소,DC,맥널티,1KG/EA",Y,2025.01.02
101,2,A,(주)오뚜기,1000000006,"(슬림비빔밥)비빔고추장,DC,엘엔에프,2KG/EA",Z,2025.01.02
